iter	RMSE	PrecisionAt:top=10	RecallAt:top=10	MAP:top=10
0	0.198215179	0.01666666667	0.5	0.01884920635
1	0.1898638161	0.025	0.5277777778	0.05401234568
2	0.1832079426	0.05	0.619047619	0.189484127
3	0.1780457815	0.04166666667	0.5357142857	0.119047619
4	0.1751032803	0.05	0.619047619	0.1240079365
5	0.1725453393	0.04166666667	0.5357142857	0.1061507937
6	0.1697248767	0.05833333333	0.7023809524	0.1421957672
7	0.1673576779	0.06666666667	0.7142857143	0.1544973545
8	0.1654461214	0.06666666667	0.7142857143	0.1493055556
9	0.1638497896	0.08333333333	0.8253968254	0.1724773243
10	0.1624149889	0.08333333333	0.8253968254	0.1679799698
11	0.1606386266	0.08333333333	0.8253968254	0.1642762661
12	0.1594274931	0.08333333333	0.8253968254	0.1673611111
13	0.1579928947	0.08333333333	0.8253968254	0.1645833333
14	0.1562384897	0.09166666667	0.8670634921	0.1759259259
15	0.1547757658	0.09166666667	0.8670634921	0.1727843915
16	0.1541100303	0.09166666667	0.8670634921	0.1886574074
17	0.1533141029	0.09166666667	0.8670634921	0.1845899471
18	0.1518257789	0.09166666667	0.8670634921	0.1962962963
19	0.1499047954	0.08333333333	0.8551587302	0.1967592593
20	0.148120152	0.08333333333	0.8551587302	0.2175925926
21	0.1463480923	0.09166666667	0.8829365079	0.2854166667
22	0.1448760868	0.09166666667	0.8829365079	0.2854166667
23	0.1436533896	0.09166666667	0.8829365079	0.2866402116
24	0.1429705773	0.09166666667	0.8829365079	0.2857142857
25	0.1419197035	0.08333333333	0.7996031746	0.2759920635
26	0.1405188871	0.08333333333	0.7996031746	0.2933531746
27	0.1391169714	0.08333333333	0.7996031746	0.2933531746
28	0.1374161896	0.1	0.9246031746	0.3109457672
29	0.1363129874	0.08333333333	0.7996031746	0.2968253968
30	0.1350687769	0.08333333333	0.7996031746	0.3384920635
31	0.1340751671	0.1	0.9246031746	0.3581679894
32	0.1321295293	0.1	0.9246031746	0.3755291005
33	0.1312795112	0.1	0.9246031746	0.3755291005
34	0.1306127876	0.1	0.9246031746	0.3963624339
35	0.1290603751	0.1	0.9246031746	0.394510582
36	0.128253392	0.1	0.9246031746	0.394510582
37	0.1266736544	0.1	0.9246031746	0.3921957672
38	0.1260133946	0.1	0.9246031746	0.3948412698
39	0.1254518181	0.1	0.9246031746	0.3933531746
40	0.1244498624	0.1	0.9246031746	0.417989418
41	0.1227387771	0.1	0.9246031746	0.4165013228
42	0.1217301171	0.1	0.9246031746	0.4153439153
43	0.1210011866	0.1083333333	0.9365079365	0.4134920635
44	0.1197740215	0.1083333333	0.9365079365	0.4181216931
45	0.117931115	0.1083333333	0.9365079365	0.4265873016
46	0.1171170101	0.1083333333	0.9365079365	0.4294217687
47	0.1159138796	0.1083333333	0.9365079365	0.4294217687
48	0.1151664878	0.1083333333	0.9365079365	0.4314058957
49	0.1146558359	0.1083333333	0.9365079365	0.4360355253
50	0.1140055148	0.1083333333	0.9365079365	0.4444444444
51	0.1122709927	0.1083333333	0.9365079365	0.4444444444
