iter	Passed	Remaining
0	9	946
1	15	740
2	20	665
3	26	628
4	31	602
5	37	580
6	42	570
7	48	555
8	53	544
9	59	534
10	64	522
11	70	513
12	75	505
13	80	496
14	86	489
15	91	482
16	97	474
17	102	467
18	108	460
19	113	455
20	119	448
21	124	442
22	129	435
23	135	428
24	140	422
25	146	416
26	151	410
27	157	404
28	162	397
29	167	391
30	173	385
31	180	382
32	185	376
33	190	370
34	196	364
35	201	358
36	206	352
37	212	346
38	217	340
39	223	334
40	228	328
41	234	323
42	239	317
43	244	311
44	250	305
45	255	299
46	260	293
47	266	288
48	271	282
49	276	276
50	281	270
51	287	265
52	292	259
53	297	253
54	303	247
55	308	242
56	313	236
57	318	230
58	324	225
59	329	219
60	334	214
61	340	208
62	345	202
63	350	197
64	356	192
65	362	186
66	368	181
67	374	176
68	380	171
69	386	165
70	392	160
71	397	154
72	403	149
73	411	144
74	421	140
75	431	136
76	443	132
77	459	129
78	471	125
79	485	121
80	492	115
81	499	109
82	507	103
83	515	98
84	523	92
85	531	86
86	537	80
87	542	74
88	548	67
89	553	61
90	558	55
91	564	49
92	569	42
93	574	36
94	579	30
95	584	24
96	590	18
97	595	12
98	600	6
99	606	0
