import time: self [us] | cumulative | imported package
import time:       185 |        185 |   _io
import time:        25 |         25 |   marshal
import time:       224 |        224 |   posix
import time:       431 |        864 | _frozen_importlib_external
import time:       445 |        445 |   time
import time:       211 |        655 | zipimport
import time:        40 |         40 |     _codecs
import time:       367 |        407 |   codecs
import time:       353 |        353 |   encodings.aliases
import time:       620 |       1378 | encodings
import time:       160 |        160 | encodings.utf_8
import time:        62 |         62 | _signal
import time:       245 |        245 | encodings.latin_1
import time:        33 |         33 |     _abc
import time:       205 |        237 |   abc
import time:       208 |        445 | io
import time:        41 |         41 |       _stat
import time:       145 |        185 |     stat
import time:       864 |        864 |     _collections_abc
import time:       129 |        129 |       genericpath
import time:       177 |        305 |     posixpath
import time:       419 |       1772 |   os
import time:       145 |        145 |   _sitebuiltins
import time:        63 |         63 |     _locale
import time:       187 |        250 |   _bootlocale
import time:      1236 |       1236 |   _virtualenv
import time:       230 |        230 |   types
import time:       329 |        329 |       warnings
import time:       148 |        476 |     importlib
import time:       116 |        116 |       importlib.machinery
import time:       692 |        692 |             _heapq
import time:       155 |        847 |           heapq
import time:       490 |        490 |           itertools
import time:       136 |        136 |           keyword
import time:        55 |         55 |             _operator
import time:       221 |        275 |           operator
import time:       138 |        138 |           reprlib
import time:        51 |         51 |           _collections
import time:       597 |       2532 |         collections
import time:       169 |        169 |         collections.abc
import time:        36 |         36 |             _functools
import time:       411 |        446 |           functools
import time:       354 |        799 |         contextlib
import time:       591 |        591 |           enum
import time:        54 |         54 |             _sre
import time:       277 |        277 |               sre_constants
import time:       264 |        541 |             sre_parse
import time:       215 |        809 |           sre_compile
import time:       132 |        132 |           copyreg
import time:       420 |       1951 |         re
import time:      1358 |       6807 |       typing
import time:       395 |       7318 |     importlib.abc
import time:       281 |       8074 |   importlib.util
import time:       371 |        371 |   _distutils_hack
import time:        78 |         78 |   sitecustomize
import time:     15322 |      27473 | site
import time:      1266 |       1266 |   opsml
import time:       729 |        729 |           numpy._globals
import time:       331 |        331 |           numpy.__config__
import time:       228 |        228 |           numpy._distributor_init
import time:       169 |        169 |               __future__
import time:       733 |        733 |                       _json
import time:       393 |       1125 |                     json.scanner
import time:       382 |       1507 |                   json.decoder
import time:       380 |        380 |                   json.encoder
import time:       194 |       2080 |                 json
import time:       361 |       2440 |               numpy._version
import time:       359 |       2967 |             numpy.version
import time:       782 |        782 |                     math
import time:       715 |        715 |                     _datetime
import time:       743 |       2239 |                   datetime
import time:     17589 |      19828 |                 numpy.core._multiarray_umath
import time:       518 |        518 |                     numpy.compat._inspect
import time:      2114 |       2114 |                     numpy.compat._pep440
import time:       146 |        146 |                         fnmatch
import time:        70 |         70 |                           nt
import time:        60 |         60 |                           nt
import time:        58 |         58 |                           nt
import time:        57 |         57 |                           nt
import time:       205 |        448 |                         ntpath
import time:        52 |         52 |                         errno
import time:       131 |        131 |                           urllib
import time:       875 |       1006 |                         urllib.parse
import time:       600 |       2249 |                       pathlib
import time:        77 |         77 |                       pickle5
import time:       743 |        743 |                           _struct
import time:       144 |        887 |                         struct
import time:       268 |        268 |                         _compat_pickle
import time:       718 |        718 |                         _pickle
import time:        74 |         74 |                             org
import time:        14 |         88 |                           org.python
import time:        15 |        102 |                         org.python.core
import time:       741 |       2714 |                       pickle
import time:       240 |       5278 |                     numpy.compat.py3k
import time:       486 |       8394 |                   numpy.compat
import time:        21 |       8415 |                 numpy.compat._inspect
import time:       804 |      29046 |               numpy.core.overrides
import time:      1086 |      30131 |             numpy.core.multiarray
import time:       452 |        452 |             numpy.core.umath
import time:       632 |        632 |               numbers
import time:       319 |        319 |               numpy.core._string_helpers
import time:       274 |        274 |                 numpy.core._dtype
import time:      1971 |       2244 |               numpy.core._type_aliases
import time:       441 |       3635 |             numpy.core.numerictypes
import time:       579 |        579 |                     numpy.core._exceptions
import time:       776 |       1354 |                   numpy.core._methods
import time:       878 |       2232 |                 numpy.core.fromnumeric
import time:       445 |       2676 |               numpy.core.shape_base
import time:       261 |        261 |               numpy.core._ufunc_config
import time:       454 |        454 |               numpy.core.arrayprint
import time:       303 |        303 |               numpy.core._asarray
import time:      1065 |       4757 |             numpy.core.numeric
import time:       956 |        956 |             numpy.core.defchararray
import time:       426 |        426 |             numpy.core.records
import time:       281 |        281 |             numpy.core.memmap
import time:       346 |        346 |             numpy.core.function_base
import time:       261 |        261 |             numpy.core._machar
import time:       247 |        247 |             numpy.core.getlimits
import time:       364 |        364 |             numpy.core.einsumfunc
import time:      1968 |       1968 |               numpy.core._multiarray_tests
import time:      1668 |       3635 |             numpy.core._add_newdocs
import time:       679 |        679 |                   signal
import time:       176 |        176 |                     _weakrefset
import time:       513 |        688 |                   threading
import time:        38 |         38 |                   pwd
import time:       657 |        657 |                   grp
import time:        78 |         78 |                   msvcrt
import time:       609 |        609 |                   _posixsubprocess
import time:       596 |        596 |                   select
import time:       505 |        505 |                   selectors
import time:       419 |       4266 |                 subprocess
import time:      1599 |       5864 |               platform
import time:       616 |       6480 |             numpy.core._add_newdocs_scalars
import time:       334 |        334 |             numpy.core._dtype_ctypes
import time:        61 |         61 |                 _ast
import time:       852 |        913 |               ast
import time:       942 |        942 |                 _ctypes
import time:       696 |        696 |                 ctypes._endian
import time:      1240 |       2877 |               ctypes
import time:       813 |       4602 |             numpy.core._internal
import time:       429 |        429 |             numpy._pytesttester
import time:       700 |      60997 |           numpy.core
import time:       877 |        877 |             numpy.lib.mixins
import time:       291 |        291 |                 numpy.lib.ufunclike
import time:       526 |        817 |               numpy.lib.type_check
import time:      1693 |       2510 |             numpy.lib.scimath
import time:       376 |        376 |                         numpy.lib.stride_tricks
import time:       343 |        718 |                       numpy.lib.twodim_base
import time:      1877 |       1877 |                       numpy.linalg._umath_linalg
import time:       762 |       3356 |                     numpy.linalg.linalg
import time:       349 |       3704 |                   numpy.linalg
import time:       602 |       4306 |                 numpy.matrixlib.defmatrix
import time:       350 |       4656 |               numpy.matrixlib
import time:       443 |        443 |                 numpy.lib.histograms
import time:       925 |       1367 |               numpy.lib.function_base
import time:       461 |       6482 |             numpy.lib.index_tricks
import time:       586 |        586 |             numpy.lib.nanfunctions
import time:       469 |        469 |             numpy.lib.shape_base
import time:       632 |        632 |             numpy.lib.polynomial
import time:      1198 |       1198 |               textwrap
import time:       631 |       1829 |             numpy.lib.utils
import time:       441 |        441 |             numpy.lib.arraysetops
import time:       398 |        398 |               weakref
import time:       394 |        394 |               numpy.lib.format
import time:       334 |        334 |               numpy.lib._datasource
import time:       365 |        365 |               numpy.lib._iotools
import time:      1172 |       2662 |             numpy.lib.npyio
import time:       322 |        322 |             numpy.lib.arrayterator
import time:       223 |        223 |             numpy.lib.arraypad
import time:       166 |        166 |             numpy.lib._version
import time:       577 |      17772 |           numpy.lib
import time:      1097 |       1097 |               numpy.fft._pocketfft_internal
import time:       663 |       1759 |             numpy.fft._pocketfft
import time:       197 |        197 |             numpy.fft.helper
import time:       339 |       2294 |           numpy.fft
import time:       405 |        405 |               numpy.polynomial.polyutils
import time:       449 |        449 |               numpy.polynomial._polybase
import time:      1429 |       2283 |             numpy.polynomial.polynomial
import time:       401 |        401 |             numpy.polynomial.chebyshev
import time:       428 |        428 |             numpy.polynomial.legendre
import time:       403 |        403 |             numpy.polynomial.hermite
import time:       361 |        361 |             numpy.polynomial.hermite_e
import time:       349 |        349 |             numpy.polynomial.laguerre
import time:       390 |       4612 |           numpy.polynomial
import time:        93 |         93 |                     backports_abc
import time:      2647 |       2739 |                   numpy.random._common
import time:       676 |        676 |                       binascii
import time:       222 |        897 |                     base64
import time:      2475 |       2475 |                       _hashlib
import time:       552 |        552 |                         _blake2
import time:       277 |        828 |                       hashlib
import time:       262 |       3565 |                     hmac
import time:       476 |        476 |                         _bisect
import time:       134 |        609 |                       bisect
import time:       488 |        488 |                       _random
import time:       532 |        532 |                       _sha512
import time:       393 |       2021 |                     random
import time:       198 |       6679 |                   secrets
import time:      1878 |      11295 |                 numpy.random.bit_generator
import time:      1701 |       1701 |                 numpy.random._bounded_integers
import time:      1096 |       1096 |                 numpy.random._mt19937
import time:      6046 |      20136 |               numpy.random.mtrand
import time:       888 |        888 |               numpy.random._philox
import time:       973 |        973 |               numpy.random._pcg64
import time:       786 |        786 |               numpy.random._sfc64
import time:      2262 |       2262 |               numpy.random._generator
import time:       690 |      25734 |             numpy.random._pickle
import time:       418 |      26152 |           numpy.random
import time:       492 |        492 |           numpy.ctypeslib
import time:       562 |        562 |                     _opcode
import time:       302 |        863 |                   opcode
import time:       375 |       1238 |                 dis
import time:       155 |        155 |                     token
import time:       708 |        862 |                   tokenize
import time:       159 |       1020 |                 linecache
import time:      1183 |       3441 |               inspect
import time:      3982 |       7422 |             numpy.ma.core
import time:      1168 |       1168 |             numpy.ma.extras
import time:       363 |       8953 |           numpy.ma
import time:     11063 |     133616 |         numpy
import time:       450 |        450 |             pytz.exceptions
import time:       375 |        375 |             pytz.lazy
import time:       680 |        680 |             pytz.tzinfo
import time:       395 |        395 |             pytz.tzfile
import time:       894 |       2791 |           pytz
import time:       305 |        305 |             dateutil._version
import time:       432 |        736 |           dateutil
import time:      2792 |       2792 |             pandas._typing
import time:      1288 |       1288 |                                     pandas._libs.tslibs.np_datetime
import time:      2554 |       3842 |                                   pandas._libs.tslibs.dtypes
import time:       987 |        987 |                                     pandas._libs.tslibs.base
import time:       324 |        324 |                                       pandas.util._exceptions
import time:      2029 |       2353 |                                     pandas._libs.tslibs.nattype
import time:      1044 |       1044 |                                           pandas.util.version
import time:       447 |       1490 |                                         pandas.compat._optional
import time:       642 |        642 |                                             sysconfig
import time:       574 |        574 |                                             _sysconfigdata__darwin_darwin
import time:       361 |        361 |                                             _osx_support
import time:      1127 |       2702 |                                           zoneinfo._tzpath
import time:       498 |        498 |                                           zoneinfo._common
import time:       952 |        952 |                                           _zoneinfo
import time:       482 |       4632 |                                         zoneinfo
import time:      1020 |       1020 |                                             six
import time:        31 |         31 |                                             six.moves
import time:       465 |        465 |                                             dateutil.tz._common
import time:       327 |        327 |                                             dateutil.tz._factories
import time:        22 |         22 |                                               six.moves.winreg
import time:       310 |        332 |                                             dateutil.tz.win
import time:      1009 |       3183 |                                           dateutil.tz.tz
import time:       383 |       3565 |                                         dateutil.tz
import time:      5029 |      14715 |                                       pandas._libs.tslibs.timezones
import time:      2314 |      17028 |                                     pandas._libs.tslibs.tzconversion
import time:       928 |        928 |                                             pandas._libs.tslibs.ccalendar
import time:       730 |        730 |                                             locale
import time:       717 |        717 |                                               calendar
import time:       728 |       1444 |                                             _strptime
import time:       879 |        879 |                                                 pandas._config.config
import time:       443 |        443 |                                                 pandas._config.dates
import time:       272 |        272 |                                                 pandas._config.display
import time:       423 |       2015 |                                               pandas._config
import time:       276 |       2291 |                                             pandas._config.localization
import time:      1913 |       7304 |                                           pandas._libs.tslibs.fields
import time:      2966 |      10269 |                                         pandas._libs.tslibs.timedeltas
import time:        94 |         94 |                                           backports_abc
import time:      2696 |       2789 |                                         pandas._libs.tslibs.timestamps
import time:        71 |         71 |                                         backports_abc
import time:       282 |        282 |                                         dateutil.easter
import time:       247 |        247 |                                           dateutil._common
import time:       458 |        705 |                                         dateutil.relativedelta
import time:      1186 |       1186 |                                         pandas._libs.properties
import time:      3353 |      18652 |                                       pandas._libs.tslibs.offsets
import time:        84 |         84 |                                       backports_abc
import time:        36 |         36 |                                             _string
import time:       568 |        603 |                                           string
import time:      1592 |       1592 |                                             _decimal
import time:       403 |       1995 |                                           decimal
import time:       851 |       3447 |                                         dateutil.parser._parser
import time:       504 |        504 |                                         dateutil.parser.isoparser
import time:       343 |       4294 |                                       dateutil.parser
import time:      2658 |      25686 |                                     pandas._libs.tslibs.parsing
import time:      2433 |      48486 |                                   pandas._libs.tslibs.conversion
import time:      2277 |       2277 |                                   pandas._libs.tslibs.period
import time:      1778 |       1778 |                                   pandas._libs.tslibs.vectorized
import time:       368 |      56749 |                                 pandas._libs.tslibs
import time:        38 |      56786 |                               pandas._libs.tslibs.nattype
import time:       957 |        957 |                               pandas._libs.ops_dispatch
import time:      2270 |      60012 |                             pandas._libs.missing
import time:      2449 |      62460 |                           pandas._libs.hashtable
import time:      2899 |       2899 |                           pandas._libs.algos
import time:      3074 |      68432 |                         pandas._libs.interval
import time:       352 |      68784 |                       pandas._libs
import time:        21 |      68804 |                     pandas._libs.properties
import time:       523 |      69327 |                   pandas.util._decorators
import time:       474 |        474 |                       pandas.core
import time:       704 |       1178 |                     pandas.core.util
import time:      1683 |       1683 |                       pandas._libs.tslib
import time:      2918 |       4601 |                     pandas._libs.lib
import time:      1209 |       1209 |                     pandas._libs.hashing
import time:       460 |        460 |                       pandas.core.dtypes
import time:       732 |        732 |                         pandas.errors
import time:       721 |        721 |                         pandas.core.dtypes.generic
import time:       469 |       1921 |                       pandas.core.dtypes.base
import time:       334 |        334 |                         pandas.core.dtypes.inference
import time:      1176 |       1509 |                       pandas.core.dtypes.dtypes
import time:       845 |       4734 |                     pandas.core.dtypes.common
import time:       589 |      12310 |                   pandas.core.util.hashing
import time:       424 |      82059 |                 pandas.util
import time:        20 |      82078 |               pandas.util.version
import time:       594 |      82672 |             pandas.compat.numpy
import time:        45 |         45 |                 gc
import time:       939 |        939 |                 pyarrow._generated_version
import time:       149 |        149 |                   backports_abc
import time:        74 |         74 |                   pickle5
import time:       654 |        654 |                         _uuid
import time:       679 |       1333 |                       uuid
import time:       270 |        270 |                       cloudpickle.compat
import time:      1494 |       1494 |                       typing_extensions
import time:       950 |       4045 |                     cloudpickle.cloudpickle
import time:       242 |        242 |                         traceback
import time:        41 |         41 |                         atexit
import time:      1537 |       1819 |                       logging
import time:       445 |       2264 |                     cloudpickle.cloudpickle_fast
import time:       412 |       6720 |                   cloudpickle
import time:       938 |        938 |                       _socket
import time:       635 |        635 |                       array
import time:      1131 |       2704 |                     socket
import time:       330 |       3033 |                   pyarrow.util
import time:       628 |        628 |                     _queue
import time:       325 |        953 |                   queue
import time:        63 |         63 |                   pyarrow.collections
import time:        31 |         31 |                   pyarrow.enum
import time:     87180 |      98201 |                 pyarrow.lib
import time:      4626 |       4626 |                 pyarrow._hdfsio
import time:       408 |        408 |                   pyarrow.filesystem
